	Total	Orig column
AATSC5d	0.9999999999999998	364
ATSC4d	0.9299768639767452	255
SpMAD_Dzi	0.9124254107148455	761
SlogP_VSA1	0.614485239184216	1080
nBondsS	0.5560165917290618	773
BalabanJ	0.5172846597707355	665
SsssCH	0.4941697192745779	921
SssO	0.41457738368420166	940
SssCH2	0.40666790443120526	917
nBase	0.3842762526196345	5
Xch-5dv	0.36863936752240795	800
SaaaC	0.3460412630959709	925
MATS5d	0.32690000797311775	469
SLogP	0.29947900224427265	1229
PEOE_VSA9	0.2978605727165145	1067
AATS6dv	0.2906317690785496	140
SdO	0.28131127042949666	939
SaasN	0.27965711642257707	936
AATS4i	0.27835590296037876	228
JGI1	0.27740827826436587	1243
SpMAD_Dzse	0.2642472364749088	709
VSA_EState7	0.2529807901236423	1106
RotRatio	0.25069518810723856	1228
GATS8se	0.24963613837485313	608
BCUTc-1l	0.2477943120097774	642
AATSC3i	0.23953330328767083	443
SpMAD_Dzv	0.23827087320257864	696
AATSC1se	0.2364463104413614	405
PEOE_VSA10	0.23593733069134556	1068
PEOE_VSA11	0.2252127061928416	1069
SMR_VSA3	0.22469624317764356	1074
JGI8	0.22324343313185238	1250
GATS2se	0.22058590332527653	602
n8FaHRing	0.21552129703088083	1206
n7FHRing	0.21326708756576193	1192
n8ARing	0.21134205177251317	1174
n8FaRing	0.21096310707939045	1200
n7FAHRing	0.21085056412928957	1220
n8Ring	0.2103487662907814	1153
SsssN	0.21019795353413065	934
n8HRing	0.21008057051824	1161
StCH	0.20936108016609137	918
nG12Ring	0.20901569730624212	1155
n12Ring	0.20757915498093119	1154
NssssN	0.20741942362234486	899
GATS6v	0.20674685466521234	598
n12ARing	0.20660849539555956	1175
SdssS	0.20562445401698434	948
nG12ARing	0.20535064848185056	1176
GATS4i	0.20526339705406135	636
ATSC5i	0.20459812203558506	337
SsSH	0.20363668446230557	944
NtCH	0.20341557673293767	880
VSA_EState5	0.20337548385799756	1104
NsSH	0.2018805535003858	906
n8AHRing	0.2002819911035077	1182
NdssS	0.19909517586854716	910
SssssN	0.19675446885778725	937
NdS	0.19581261620633347	907
SdS	0.19259700632399385	945
PEOE_VSA6	0.19193828837338353	1064
ETA_dPsi_B	0.18768786095878545	1004
MDEC-23	0.18764145144247732	1110
AATS7i	0.18742456800515167	231
C2SP1	0.18666458027629704	783
SdNH	0.1845317859833617	928
NdNH	0.1840512457285924	890
SaaN	0.1833787448963084	933
GATS2d	0.18206226755821975	562
JGI9	0.181575033763966	1251
ATSC5d	0.17953863722155983	256
GATS6i	0.17835739922826807	638
SssNH	0.17361552501752925	929
ATSC6v	0.1727423034975271	293
Diameter	0.17094034801768834	1254
SlogP_VSA3	0.16889822807821994	1082
n7FARing	0.1681456144489567	1212
MATS7c	0.16808521382458083	455
n7FRing	0.16721254156211848	1184
JGT10	0.16718562897613617	1253
JGI2	0.16686129577335854	1244
GATS8c	0.16655136735655643	552
SlogP_VSA8	0.16647872014843412	1087
GATS8are	0.16259320382064335	624
